country, year,population,beef (kg/capita),pig (kg/capita),poultry (kg/capita),sheep(kg/capita),maize (1000 tonnes),rice (1000 tonnes),soy(1000 tonnes),wheat(1000 tonnes)
ARG,1990,32.580854,55.559,3.674,8.66,2.282,7685,291.04,11500,11037
ARG,1991,33.028546,51.817,3.612,8.88,2.347,10701,236.64,11310,9999
ARG,1992,33.475005,50.98,4.487,10.027,1.894,10901,498.44,11045,9996
ARG,1993,33.91744,51.678,4.851,15.442,1.869,10360,413.44,11720,9737
ARG,1994,34.353066,48.594,4.837,18.392,2.374,11404,413.16,12133,11406
ARG,1995,34.779096,43.693,5.086,18.662,2.233,10518,629.68,12450,9542
ARG,1996,35.195575,44.219,4.889,19.63,1.787,15537,670.48,11000,16107
ARG,1997,35.604362,44.86,4.747,19.005,1.625,19361,819.4,18732,15087
ARG,1998,36.005387,41.633,5.475,19.803,1.421,13504,687.54,20000,12601
ARG,1999,36.398577,45.76,6.148,23.041,1.336,16781,1127.44,20200,15300
ARG,2000,36.783859,45.282,5.989,22.902,1.412,15359,614.721,26880,15960
ARG,2001,37.156654,43.988,4.783,22.024,1.397,14712,584.12,30000,15292
ARG,2002,37.537783,40.505,4.445,15.424,1.363,15045,484.84,34706,12301
ARG,2003,37.927463,41.864,3.951,16.121,1.309,14951,488.24,31576,14563
ARG,2004,38.325927,43.711,4.255,18.888,1.26,20483,720.8,38300,15925
ARG,2005,38.733406,42.824,4.825,21.145,1.188,14446,650.08,40537,12593
ARG,2006,39.127239,44.105,5.93,24.338,1.157,21755,811.58,47482,14548
ARG,2007,39.52944,47.41,6.045,25.742,1.177,22017,734.468,46238,16354
ARG,2008,39.940234,47.251,5.933,27.954,1.102,13121,853.4,40000,8376
ARG,2009,40.359828,46.961,6.415,29.733,1.039,22677,910.452,54247,9023
ARG,2010,40.788453,39.622,6.137,31.511,1.032,23800,845.444,48878,15875
ARG,2011,41.26149,38.402,6.582,35.01,1.087,21197,1188.708,49000,14500
ARG,2012,41.733271,40.476,6.635,36.864,1.182,32100,1066.24,49353,8024
ARG,2013,42.202935,44.056,7.879,35.685,1.152,33000,1063.18,53397.72,9188
ARG,2014,42.6695,40.956,8.026,36.692,1.22,33800,1074.4,61398.276,13930
ARG,2015,43.131966,41.079,8.631,39.253,1.147,39800,1060.8,58799.258,11314
ARG,2016,43.590368,39.042,9.674,38.925,1.012,49500,952,54971.626,18395
ARG,2017,44.044811,39.575,10.421,38.343,0.969,43460,904.4,37783.754,18518
ARG,2018,44.494502,38.881,11.054,38.464,0.969,57000,930.24,55263,19459
AUS,1990,17.065128,0,0,22.051,19.013,193.7,740,62.017,15066.1
AUS,1991,17.284036,27.942,14.521,22.35,19.415,268.9,957,62.6,10557.4
AUS,1992,17.478635,26.405,15.256,22.436,17.961,198.8,858,48.889,14738.7
AUS,1993,17.634808,26.37,15.082,23.807,17.49,204.1,1042,81.263,16479.3
AUS,1994,17.805468,25.662,15.646,24.473,18.505,242.4,1016,27.247,8961.3
AUS,1995,18.004882,25.526,15.652,24.217,15.115,311.1,966,44.606,16503.9
AUS,1996,18.224767,27.453,14.478,24.615,14.795,397.7,1255,74.376,22924.3
AUS,1997,18.423037,29,14.858,25.791,15.063,271.8,1324,54.04,19226.6
AUS,1998,18.607584,26.765,15.257,27.643,15.476,338.2,1362,107.189,21464.8
AUS,1999,18.812264,28.095,15.193,28.002,15.25,406,1084,104.02,24757.4
AUS,2000,19.028802,26.515,15.651,29.682,16.368,344.9,1643,48.65,22108.1
AUS,2001,19.274701,24.606,14.892,29.225,14.977,453.9,1192,63.061,24299.3
AUS,2002,19.49521,25.263,16.418,32.494,13.779,310,438,9.212,10131.9
AUS,2003,19.720737,25.958,17.593,31.407,12.153,395,553,59.807,26131.9
AUS,2004,19.932722,28.719,17.718,32.81,11.984,419.7,339,44.689,21905.1
AUS,2005,20.176844,27.19,18.863,34.092,11.992,362,1003,50.149,25150.4
AUS,2006,20.450966,27.03,18.409,35.187,12.37,239.9,163,25.49,10821.6
AUS,2007,20.827622,24.166,20.221,34.769,12.587,387,17.614,34.73,13569.4
AUS,2008,21.249199,23.343,19.17,33.261,10.992,375.7,60.868,80.105,21420.2
AUS,2009,21.691653,23.454,19.744,33.578,10.334,328.029,196.685,59.6,21834.01
AUS,2010,22.03175,25.31,20.129,37.645,8.973,356.943,723.283,29.75,27410.1
AUS,2011,22.340024,23.287,19.486,39.499,8.046,450.535,918.733,52.272,29905.009
AUS,2012,22.733465,22.435,20.502,40.319,8.723,505.897,1161.116,69.523,22855
AUS,2013,23.128129,23.744,19.9,40.161,8.723,389.533,819.276,31.61,25302.707
AUS,2014,23.475686,22.587,20.174,40.806,8.116,494.589,690.39,37.439,23742.56
AUS,2015,23.815995,20.519,21.77,41.989,9.346,400.032,273.688,39.52,22274.514
AUS,2016,24.190907,19.473,21.4,44.512,8.5,436.194,807.304,31.018,31818.744
AUS,2017,24.60186,21.251,22.062,43.349,7.755,387.237,635.113,51.237,20941.133
AUS,2018,24.99286,19.965,21.395,42.353,6.982,392,60.882,42.028,17297.5
BRA,1990,148.935328,20.868,5.562,12.513,0.676,24096.1,5338.56,19418.6,3077.8
BRA,1991,151.467861,20.68,5.718,13.814,0.672,30771.2,6697.99,23042.1,2739.2
BRA,1992,153.973883,20.542,5.809,14.677,0.668,29207.7,6769.01,25059.2,2051.8
BRA,1993,156.454116,20.813,6.004,15.198,0.689,33173.7,6635.01,25934.1,2137.8
BRA,1994,158.910651,23.259,6.204,16.602,0.664,37441.9,7050.41,23189.7,1524.3
BRA,1995,161.345581,25.906,6.76,20.161,0.702,32404.7,7529.46,23166.874,3197.5
BRA,1996,163.767821,26.468,7.322,19.129,0.553,35715.6,6724.79,26392.636,2406.9
BRA,1997,166.187066,24.713,6.81,20.615,0.562,30187.8,6381.08,31369.9,2187.7
BRA,1998,168.6064,23.457,7.226,22.485,0.564,32393.4,5670.21,30765,2402.8
BRA,1999,171.029011,24.953,7.246,24.823,0.584,31640.5,7875.76,32344.6,1658.4
BRA,2000,173.765726,25.237,10.759,26.059,0.55,42289.7,7767.708,38431.8,3194.2
BRA,2001,176.208646,24.993,10.997,25.125,0.52,35266.8,7062.48,41916.9,2913.9
BRA,2002,178.499255,25.699,10.51,27.132,0.498,47410.9,7225.748,52017.5,6073.5
BRA,2003,180.708344,29.696,9.585,28.596,0.487,42128.5,7049.628,49792.7,5845.9
BRA,2004,182.865043,27.678,9.084,30.151,0.518,35006.7,8813.072,52304.6,4873.1
BRA,2005,184.991143,29.722,8.899,24.429,0.521,42514.9,9081.536,55027.1,2233.7
BRA,2006,187.06161,32.082,10.166,26.262,0.531,51369.9,7970.756,58391.8,4097.1
BRA,2007,189.038268,30.758,9.997,27.583,0.53,58652.3,7694.812,60017.7,5884
BRA,2008,191.010274,26.987,10.348,31.514,0.533,51003.8,8210.32,57165.5,5026.2
BRA,2009,192.980905,25.673,10.653,30.196,0.524,56018.1,8569.7,68688.2,5881.606
BRA,2010,194.890682,26.325,11.011,39.014,0.529,57406.9,7929.412,75324.3,5788.6
BRA,2011,196.603732,25.903,11.65,40.501,0.527,72979.5,9256.908,66383,4379.5
BRA,2012,198.314934,26.161,11.669,39.835,0.533,81505.7,7887.66,81499.4,5527.9
BRA,2013,200.004188,27.765,11.531,39.311,0.546,80051.7,8037.396,86120.8,5971.1
BRA,2014,201.717541,26.041,12.312,39.739,0.547,84672.4,8242.688,96228,5534.9
BRA,2015,203.475683,24.968,12.187,40.97,0.555,66530.6,8465.048,95434.6,6726.8
BRA,2016,205.156587,25.391,11.702,40.316,0.548,97842.8,7210.04,114075.3,4262.1
BRA,2017,206.804741,25.373,12.149,40.906,0.532,80709.5,8382.904,119281.7,5427.6
BRA,2018,208.4949,25.263,12.711,40.109,0.523,91652.3,8203.52,115030.1,5149.3
CAN,1990,27.691138,25.002,20.597,24.42,0.734,7066.6,0,1262.1,32098.3
CAN,1991,28.03742,24.456,20.367,24.395,0.768,7412.5,0,1459.9,31945.6
CAN,1992,28.371264,23.83,22.342,24.423,0.745,4882.6,0,1453.3,29877.2
CAN,1993,28.684764,22.805,21.749,25.037,0.756,6755.2,0,1944.9,27225.9
CAN,1994,29.000663,23.226,22.368,26.645,0.727,7189.9,0,2253.7,22919.5
CAN,1995,29.302311,23.309,21.894,26.324,0.717,7280.9,0,2297.5,24989.4
CAN,1996,29.610218,23.048,20.478,26.128,0.667,7541.7,0,2169.5,29801.4
CAN,1997,29.905948,23.106,20.035,26.615,0.655,7179.8,0,2737.7,24299.4
CAN,1998,30.155173,23.379,22.595,27.206,0.733,8952.4,0,2736.6,24082.3
CAN,1999,30.401286,23.8,23.669,28.395,0.757,9161.3,0,2780.9,26959.9
CAN,2000,30.68573,23.411,22.577,29.707,0.833,6953.7,0,2703,26535.5
CAN,2001,31.020902,22.5,22.805,30.892,0.915,8389.2,0,1635.2,20630.2
CAN,2002,31.360079,22.415,21.952,31.212,0.914,8998.8,0,2335.7,15961.3
CAN,2003,31.644028,23.655,19.811,31.337,0.956,9587.3,0,2273.3,23048.6
CAN,2004,31.940655,22.711,21.006,31.556,0.977,8836.8,0,3043.9,24795.5
CAN,2005,32.243753,21.994,18.148,31.689,0.986,9332.2,0,3155.6,25748.1
CAN,2006,32.571174,21.711,18.442,31.929,1.069,8989.8,0,3465.5,25265.4
CAN,2007,32.889025,22.146,19.695,32.011,1.073,11648.7,0,2695.7,20090.4
CAN,2008,33.247118,21.473,18.701,32.082,1.026,10642.8,0,3335.9,28619.2
CAN,2009,33.628895,20.434,18.482,31.679,1.013,9796.2,0,3581.6,26949.9
CAN,2010,34.004889,20.305,17.28,31.341,0.953,12043.3,0,4444.6,23299.6
CAN,2011,34.339328,19.804,16.741,30.327,0.931,11358.7,0,4466.5,25288
CAN,2012,34.714222,20.012,17.435,30.065,0.846,13060.1,0,5086.4,27246
CAN,2013,35.082954,19.813,16.326,30.353,0.877,14190.7,0,5355.9,37589.1
CAN,2014,35.437435,19.177,16.093,31.163,0.921,11606.4,0,6044.8,29442.1
CAN,2015,35.702908,17.633,17.994,32.557,0.914,13679.5,0,6456.3,27647.4
CAN,2016,36.109487,18.316,15.976,33.188,0.929,13889,0,6596.5,32139.9
CAN,2017,36.540268,18.273,16.374,33.413,0.971,14095.5,0,7716.6,30377.3
CAN,2018,37.058856,18.422,17,34.836,1.022,13884.8,0,7416.6,32201.1
CHL,1990,13.275,12.969,7.166,7.83,0.814,836,91.52,0,1718
CHL,1991,13.495,12.568,7.024,8.647,0.877,911,78.74,0,1589
CHL,1992,13.72,12.103,7.501,12.875,0.955,899,89.84,0,1557
CHL,1993,13.945,13.6,8.096,15.173,0.902,937,88.16,0,1324
CHL,1994,14.166,14.557,8.672,16.684,0.786,942,89.5,0,1271
CHL,1995,14.381,15.833,9.332,19.172,0.727,932,98.25,0,1384
CHL,1996,14.587,16.445,9.836,20.057,0.708,881,102.96,0,1227
CHL,1997,14.786,17.479,10.522,19.879,0.74,943,72.28,0,1677
CHL,1998,14.978,16.421,11.588,21.392,0.767,624,70.19,0,1197
CHL,1999,15.163,15.401,12.319,21.666,0.769,652,41.05,0,1493
CHL,2000,15.342,15.658,12.623,23.377,0.73,778,90.922,0,1780
CHL,2001,15.516,14.054,13.635,24.777,0.623,924,96.441,0,1820
CHL,2002,15.684,14.699,13.41,23.517,0.612,1190,95.499,0,1797
CHL,2003,15.85,15.894,14.22,23.584,0.537,1321,94.759,0,1922
CHL,2004,16.015,16.402,13.352,25.923,0.518,1508,80.289,0,1922
CHL,2005,16.183,17.445,13.85,25.725,0.491,1382,78.607,0,1852
CHL,2006,16.355,15.129,16.253,29.403,0.587,1123,107.882,0,1404
CHL,2007,16.53,16.218,16.756,30.374,0.592,1365,74.232,0,1238
CHL,2008,16.708,15.115,18.143,28.649,0.652,1346,81.702,0,1145
CHL,2009,16.886,15.154,17.214,27.466,0.559,1358,85.673,0,1524
CHL,2010,17.063,15.412,17.693,29.038,0.489,1438,63.733,0,1576
CHL,2011,17.234,14.162,18.643,31.549,0.537,1493,87.759,0,1213
CHL,2012,17.4,14.675,19.605,31.684,0.532,1519,100.816,0,1474.663
CHL,2013,17.572,17.161,19.686,32.275,0.431,1186,87.692,0,1358.13
CHL,2014,17.759,17.602,18.019,32.024,0.476,1539,90.788,0,1482
CHL,2015,17.969,17.441,17.622,33.924,0.46,1174,110.076,0,1731.9
CHL,2016,18.209,18.855,18.262,35.891,0.419,1062.5,117.108,0,1349
CHL,2017,18.47,17.548,19.409,35.967,0.429,1110.6,86.054,0,1469
CHL,2018,18.729,18.67,24.473,36.36,0.418,973.178,129.76,0,1399.919
CHN,1990,1172.4452,0.639,14.959,0,0,96818.9,127231.1,0,98228.9
CHN,1991,1189.183522,0.75,15.851,2.898,0.869,98773,123522.33,9710,95950
CHN,1992,1204.003901,1.001,16.951,3.267,0.91,95383,125698.5,10300,101587
CHN,1993,1217.129133,1.256,18.159,4.131,0.99,102704,120837.36,15307,106390
CHN,1994,1228.991932,1.523,19.674,4.698,1.058,99277,119986.3,16000,99297
CHN,1995,1239.940004,1.954,19.939,5.943,1.238,111986,126882.55,13500,102207
CHN,1996,1249.981441,1.944,19.546,5.917,1.274,127471,133646.24,13220,110569
CHN,1997,1259.066974,2.402,22.113,6.748,1.486,104309,137503.47,14728,123289
CHN,1998,1267.441503,2.601,23.708,7.442,1.627,132954,136117.72,15152,109726
CHN,1999,1275.406699,2.739,23.64,7.739,1.73,128086,135964.28,14251,113880
CHN,2000,1283.19897,2.685,23.986,8.35,1.816,103209.74,128716.98,15410,99636
CHN,2001,1290.937649,2.716,24.267,8.089,1.832,114090,121642.98,15407,93876
CHN,2002,1298.646577,2.782,24.531,8.118,1.905,121310,119559.9,16507,90290
CHN,2003,1306.343911,2.864,24.999,8.436,2.053,115830,110048.68,15394,86488
CHN,2004,1314.007478,2.928,25.322,8.28,2.189,130290,122675.96,17404,91952
CHN,2005,1321.62349,2.934,26.425,8.856,2.289,139372,123703.05,16350,97445
CHN,2006,1329.209094,2.953,26.893,9.093,2.363,151603,124477.06,15967,108466
CHN,2007,1336.800506,3.127,24.774,9.755,2.486,155123,127671.02,12725,109525
CHN,2008,1344.415227,3.126,26.815,10.351,2.466,172120,131939.35,15545,112932
CHN,2009,1352.068091,3.193,28.296,10.631,2.521,173259,134394.77,15225,115834
CHN,2010,1359.755102,3.187,29.34,10.771,2.595,190752,135099.61,15410,116141
CHN,2011,1367.480264,3.073,29.319,10.924,2.561,211316,138974.54,14880,118625
CHN,2012,1375.198619,3.106,30.943,11.64,2.625,229559,141474.64,13435,122540
CHN,2013,1382.793212,3.23,31.796,11.452,2.742,248453,141305.66,12405,123710
CHN,2014,1390.110388,3.222,32.72,11.018,2.868,249764,143582.25,12685,128821
CHN,2015,1397.028553,3.329,31.752,11.424,2.896,264992,145317.21,12365,132639
CHN,2016,1403.500365,3.383,30.947,11.89,2.995,263613,144599.55,13595,133271
CHN,2017,1409.517397,3.523,30.671,11.765,3.049,259071,145682.99,15280,134334
CHN,2018,1415.045928,3.617,30.253,12.323,3.101,257174,145309.05,15967.1,131432
COL,1990,34.130022,15.011,3.047,7.666,0.313,1213,1380,0,105
COL,1991,34.83057,13.559,2.989,9.787,0.291,1274,1008.6,96.002,94
COL,1992,35.52094,11.556,2.97,10.294,0.305,1056,1017,113.212,75
COL,1993,36.207108,11.627,2.911,11.086,0.319,1130,1068.6,109.39,96
COL,1994,36.853905,12.319,2.884,12.229,0.314,1161,1050,94.993,105
COL,1995,37.472184,13.129,2.896,13.397,0.312,1020,1185.92,58.103,74
COL,1996,38.06805,13.461,2.719,11.311,0.279,967,1131.52,90.297,65
COL,1997,38.635691,13.855,2.173,10.467,0.297,978,1244.4,71.968,50
COL,1998,39.184456,13.656,1.638,11.913,0.272,755,1567.313,72,39
COL,1999,39.730798,12.602,2.223,11.541,0.26,960,1485.93,39,40
COL,2000,40.295563,12.984,2.13,11.697,0.29,1204,1584.727,38,37
COL,2001,40.813541,11.866,1.976,13.609,0.279,1192,1510.775,56,32
COL,2002,41.328824,11.36,2.127,14.483,0.258,1132,1654.363,54,36.4
COL,2003,41.848959,10.6,2.344,14.821,0.257,1513.9,1633.915,63,41.4
COL,2004,42.368489,11.548,2.409,15.012,0.249,1623.2,1708.901,64,43
COL,2005,42.888592,12.659,2.36,16.151,0.242,1588.3,1500.428,64,50
COL,2006,43.405956,12.852,2.711,17.781,0.234,1531.1,1336.482,65,39.69
COL,2007,43.926929,12.24,3.259,19.133,0.229,1733.2,1439.696,65,48.022
COL,2008,44.451147,11.91,3.154,20.599,0.222,1726.5,1643.397,65,57.08
COL,2009,44.978832,10.891,3.102,20.572,0.216,1560.3,1686.332,65,34.153
COL,2010,45.509584,11.681,3.521,21.392,0.208,1421.8,1351.976,65,22.658
COL,2011,46.044601,12.32,3.995,21.367,0.204,1719.7,1366.179,80,21.097
COL,2012,46.581823,12.633,6.1,21.956,0.147,1872.8,1322.886,70,21.896
COL,2013,47.121089,12.112,5.018,24.744,0.136,1779,1390.099,70,17.25
COL,2014,47.661787,12.17,5.454,26.051,0.149,1803,1260.368,70.362,16.615
COL,2015,48.203405,12.277,5.983,27.072,0.153,1471,1423.289,70,8.93
COL,2016,48.747708,11.335,6.66,28.3,0.141,1295.1,1798.805,70,23.097
COL,2017,49.291609,10.49,7.204,29.509,0.141,1296.2,1848.62,70,7.03
COL,2018,49.83424,10.624,8.072,30.669,0.143,1250,1785.462,70,4.4
EGY,1990,56.134,4.907,0.033,4.17,1.259,4799,2185.48,0,4268
EGY,1991,57.425,5.562,0.033,4.558,1.105,5122,2379.11,58.943,4483
EGY,1992,58.667,5.441,0.038,4.654,1.117,5069,2697.3,50.475,4618
EGY,1993,59.881,6.053,0.037,4.745,1.158,5039,2869.71,67.245,4833
EGY,1994,61.096,6.229,0.035,5.049,1.234,5112,3161.58,63.427,4437
EGY,1995,62.334,5.983,0.034,5.62,1.255,4535,3304.41,39.718,5722
EGY,1996,63.602,6.18,0.034,5.729,1.225,5165,3380.31,34.6,5735
EGY,1997,64.892,6.745,0.035,7.201,1.248,5806,3781.2,25,5849
EGY,1998,66.2,6.797,0.095,6.982,1.253,6337,3087.06,30,6093
EGY,1999,67.516,7.039,0.035,7.566,1.042,6143,4013.73,30,6347
EGY,2000,68.832,7.7,0.035,7.494,1.586,6474,4140,30,6564
EGY,2001,70.153,6.431,0.033,7.682,1.593,6842,3606.906,15,6255
EGY,2002,71.485,7.868,0.03,9.013,1.662,6357,4140.69,18,6625
EGY,2003,72.826,7.333,0.028,8.173,1.664,6530,4261.647,29,6845
EGY,2004,74.172,7.464,0.033,7.591,1.605,6236,4383.156,43,7178
EGY,2005,75.524,8.261,0.022,7.618,1.59,7698,4226.457,26,8141
EGY,2006,76.874,9.121,0.029,8.185,1.595,6374,4660.95,23.026,8274
EGY,2007,78.232,9.289,0.038,9.074,1.655,6243,4745.061,26,7379
EGY,2008,79.636,8.393,0.021,8.241,1.646,7401,5005.26,29.01,7977
EGY,2009,81.135,8.549,0.008,8.924,1.552,7686,3808.8,26,8523
EGY,2010,82.761,9.283,0.004,9.24,1.371,7041,2987.01,43,7177
EGY,2011,84.529,8.694,0.007,9.573,1.305,6876,3915.819,30,8407
EGY,2012,86.422,9.296,0.008,9.978,1.313,8094,4079.28,26,8795
EGY,2013,88.405,8.951,0.007,11.375,1.274,7957,4209,33,9460
EGY,2014,90.425,9.179,0.005,11.944,1.259,8060,4300.08,40,9280
EGY,2015,92.443,9.117,0.005,11.624,1.202,7803,4071,30,9608
EGY,2016,94.447,8.881,0.006,11.614,1.2,7818,4347,35,9342
EGY,2017,96.443,8.176,0.021,12.154,1.131,7100,4402.2,35,8450
EGY,2018,98.424,7.721,0.002,10.812,1.107,7300,3381,35,8550
ETH,1990,47.888,0,0,0,0,0,0,0,0
ETH,1991,49.61,0,0,0,0,0,0,20,0
ETH,1992,51.424,0,0,0,0,60,0,21,0
ETH,1993,53.296,3.008,0.017,0.592,0.996,1396,0,22,874.827
ETH,1994,55.181,2.904,0.016,0.571,0.961,1990,0,21,1084
ETH,1995,57.048,2.87,0.017,0.552,0.924,3164,0,22,1162
ETH,1996,58.884,3.159,0.017,0.538,0.901,2463,0,23,1144
ETH,1997,60.697,3.099,0.017,0.524,0.856,2987,0,23,1093
ETH,1998,62.508,3.054,0.017,0.518,0.864,2344,0,24,1143
ETH,1999,64.343,3.141,0.018,0.507,0.836,2832,6.5,25,1150
ETH,2000,66.225,3.093,0.017,0.497,0.799,2683,6.5,25,1235
ETH,2001,68.159,3.102,0.018,0.64,0.85,3298,10.01,25,1596
ETH,2002,70.142,3.5,0.017,0.675,0.991,2826,9.1,25,1448
ETH,2003,72.171,3.264,0.018,0.61,1.034,2744,8.45,25,1618
ETH,2004,74.24,3.152,0.017,0.556,1.196,2906,7.8,25,1614
ETH,2005,76.346,3.196,0.017,0.488,1.255,3912,7.8,25,2177
ETH,2006,78.489,3.32,0.018,0.505,1.431,4030,7.28,25,2219
ETH,2007,80.674,3.137,0.017,0.503,1.576,3337,46.345,25,2463
ETH,2008,82.916,3.198,0.016,0.514,1.462,3776,46.41,25,2314
ETH,2009,85.234,2.907,0.015,0.513,1.486,3897,67.015,7,3076
ETH,2010,87.64,3.345,0.016,0.577,1.431,4986,58.76,16,2856
ETH,2011,90.14,3.186,0.016,0.527,1.352,6069,57.59,36,2916
ETH,2012,92.727,2.557,0.016,0.576,1.369,6158,78.65,64,3435
ETH,2013,95.386,2.513,0.017,0.574,1.374,6492,60.06,61,3925
ETH,2014,98.094,2.738,0.02,0.371,0.919,7235,85.67,72,4232
ETH,2015,100.835,2.74,0.016,0.108,0.34,7882,82.42,85,4650
ETH,2016,103.603,2.654,0.016,0.113,0.39,7847,100.75,82,4538
ETH,2017,106.4,2.611,0.015,0.115,0.469,8396,104,115,4643
ETH,2018,109.224,2.539,0.015,0.115,0.459,9493,111.8,120,4838
IDN,1990,870.13348,1.18,2.351,2.468,0.438,6256,30721.72,0,0
IDN,1991,888.054875,1.188,2.429,2.783,0.452,7995,30389.2,1555.45,0
IDN,1992,906.021106,1.292,2.435,2.567,0.467,6460,32803.2,1869.71,0
IDN,1993,924.057817,1.475,2.544,3.222,0.515,6869,32763.76,1708.53,0
IDN,1994,942.204249,1.413,2.657,3.704,0.454,8246,30783.72,1564.85,0
IDN,1995,960.482795,1.314,2.268,3.918,0.425,9307,32828.4,1680.01,0
IDN,1996,978.893217,1.46,2.341,4.178,0.437,8771,33216.3,1517.18,0
IDN,1997,997.405318,1.492,2.438,3.903,0.468,10169,31107.51,1357,0
IDN,1998,1015.974042,1.364,2.358,2.645,0.351,9204,30996,1382,0
IDN,1999,1034.539214,1.289,2.057,2.642,0.33,9676.9,32147.31,1383,0
IDN,2000,1053.050912,1.398,1.529,3.46,0.328,9347.2,32800.168,1020,0
IDN,2001,1071.477855,1.32,1.525,3.788,0.386,9654.1,31891.352,827,0
IDN,2002,1089.807112,1.249,1.666,4.461,0.514,10886.4,32541.68,672,0
IDN,2003,1108.027848,1.338,1.761,4.531,0.578,11225.2,32950.963,672,0
IDN,2004,1126.135777,1.579,0.678,4.779,0.487,12523.9,34183.932,724,0
IDN,2005,1144.118674,1.312,0.607,4.468,0.383,11609.5,34223.495,808,0
IDN,2006,1161.977719,1.443,0.678,4.934,0.54,13287.527,34415.497,749,0
IDN,2007,1179.681239,1.303,0.773,5.084,0.457,16323.922,36123.477,590,0
IDN,2008,1197.146906,1.454,0.697,5.166,0.424,17629.74,38125.969,777,0
IDN,2009,1214.270132,1.557,0.653,5.27,0.474,18327.636,40403.87,975,0
IDN,2010,1230.980691,1.702,0.683,5.666,0.415,17643.25,41702.902,910,0
IDN,2011,1247.236029,1.721,0.716,6.051,0.409,19387.022,41255.879,851,0
IDN,2012,1263.065852,1.662,0.73,6.24,0.392,18511.853,43325.797,843,0
IDN,2013,1278.562207,1.682,0.931,6.53,0.377,19008.426,44721.072,780,0
IDN,2014,1293.859294,1.732,0.933,6.8,0.382,19612.435,44449.094,963,0
IDN,2015,1309.05398,1.658,1.015,7.041,0.383,20369.551,45800.2,858,0
IDN,2016,1324.171354,1.888,1.033,7.9,0.39,24320,45517.87,543,0
IDN,2017,1339.180127,1.89,1.02,7.666,0.425,25695,46346.038,600,0
IDN,2018,1354.051854,2.034,1.019,7.546,0.429,26300,46741.3,650,0
IND,1990,181.436821,1.65,0.37,0.396,0.61,8962,74291.29,0,49850
IND,1991,184.615979,1.623,0.375,0.518,0.606,8064,74679.8,2492,55135
IND,1992,187.766086,1.616,0.383,0.525,0.601,9992,72860.4,3390,55690
IND,1993,190.879523,1.576,0.378,0.579,0.594,9601,80300.28,4745.2,57210
IND,1994,193.945272,1.542,0.373,0.584,0.585,8884,81810.1,3931,59840
IND,1995,196.957849,1.488,0.369,0.588,0.6,9534,76980.27,4993,65767
IND,1996,199.914831,1.468,0.445,0.593,0.596,10769,81730.08,5209,62097
IND,1997,202.826465,1.435,0.363,0.586,0.594,10816,82540.12,5150,69350
IND,1998,205.715544,1.427,0.356,0.639,0.588,10677,86080.3,5300,66345
IND,1999,208.612556,1.396,0.35,0.689,0.58,11509.6,89679.81,5160,71288
IND,2000,211.540429,1.299,0.345,0.755,0.567,12043.2,84976.915,5010,76369
IND,2001,214.506502,1.31,0.34,0.791,0.567,13160.2,93340.006,5350,69681
IND,2002,217.508059,1.257,0.335,0.91,0.559,11151.7,71820.258,4300,72770
IND,2003,220.545214,1.18,0.331,0.987,0.545,14984.3,88529.76,6880,65760
IND,2004,223.614649,1.156,0.307,1.047,0.559,14180,83130.156,6880,72150
IND,2005,226.71273,1.089,0.29,1.107,0.57,14709.9,91789.923,8270,68640
IND,2006,229.838202,1.064,0.272,1.177,0.581,15097,93356.001,8850,69350
IND,2007,232.989141,1.071,0.255,1.335,0.591,18955.4,96690.168,10970,75806.704
IND,2008,236.159276,1.066,0.247,1.409,0.568,19731.4,99180.292,9910,78570.2
